ibge7_code,snapshot,avg_yearly_deforestation,lagged_deforestation,deforest_rel_forest_area,lagged_rel_forest_area,EG_InterMunicCop,EG_envir.council,EG_envir.fund,EG_envir.person,EG_envir.agency,GE_employees,GE_consortiums,GE_masterplan,ROL_div_land,ROL_U_improvement,ROL_U_neighborhood,ROL_zoning,RQ_ag_comp,RQ_nonag_comp,RQ_ag_personnel,RQ_non_ag_personnel,RQ_enterprise_incentive_existence,RQ_enterprise_restriction_existence,VA_n_candidates,VA_n_compan_communic,VA_prop_votes,VA_webpage,VA_mayor_woman,GE,RQ,VA,TT_cities_50K,munic.area.sq.km,state,forest_area,indig_land,crop_tot,distance_road,distance_river,crop_dens,cattle_tot,cattle_dens,popden,GDP_reais,pa
1303205,TS1,0.5750000000000001,7.599999999999999,1.577806437450265e-5,2.085448508629915e-4,0,0,1,0.00566795,0,1.26628426292327,0,0,0,0.5,0,0.5,-0.200849189,0.132524212,-0.264300313,-0.405275675,1,0,0.983458256,-0.122475515,-0.653907996,0,0,0.422094754307757,0.043683173,0.082387565,1915.48317381106,38114,Amazonas,0.9559479456367739,0.26592328278322924,701.75,121.3,11.31,0.01841186965419531,1411.75,0.0370401952038621,0.2852691924227318,4191.607459014509,0.4301446968704413
1303205,TS2,1.5250000000000001,0.5750000000000001,4.184617073237659e-5,1.577806437450265e-5,0,0,0,5.861944566,1,0.146623597833971,0,0.5,0,0,0,0,-0.22757353,-0.327786846,-0.294025254,-0.459371169,0,0,2.439539736,-0.135811336,-1.03111276,0,1,0.21554119927799,-0.218126133,0.602106744,1915.48317381106,38114,Amazonas,0.9559479456367739,0.26592328278322924,531.25,121.3,11.31,0.013938447814451383,903,0.02369208164978748,0.4016896678385895,5042.893533638145,0.4301446968704413
1303205,TS3,0.85,1.5250000000000001,2.3324095162308262e-5,4.184617073237659e-5,0,1,1,0.27424021,1,-0.0448023808526206,0,1,1,1,1,1,-0.412555759,-0.385531052,-0.303179328,-0.52340193,1,0,3.468440542,-0.14347868,-1.828486021,0,1,0.31839920638246,-0.104111345,0.65998863,1915.48317381106,38114,Amazonas,0.9559479456367739,0.26592328278322924,403.5,121.3,11.31,0.01058666106942331,555.2,0.014566825838274651,0.4573253922443197,6918.166432402972,0.4301446968704413
1303205,TS4,1.15,0.85,3.155612874900529e-5,2.3324095162308262e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301605,TS1,0.6749999999999999,4.525,5.946612633248172e-5,3.9864329133997006e-4,0.5,1,1,0.773748774,0,-0.356250506668844,0,0,0,0.5,0,0,-0.354215596,-0.560823306,-0.23932879,-0.664251351,1,0,0.983458256,-0.175118649,-1.115562923,0,0,-0.118750168889615,-0.136436507,-0.033026167,3359.81780674887,12392,Amazonas,0.9144609425435765,0.03352162685603615,6671.25,33.04,7.266793784,0.5383513557133635,3068,0.24757908327953518,2.345222724338283,2653.3755419448075,0.6064162883158489
1301605,TS2,1.025,0.6749999999999999,9.030041406043519e-5,5.946612633248172e-5,0,1,0,1.760001752,1,1.55113756091014,0,1,0,0,0,0,-0.070447086,-0.529541859,-0.281354254,-0.685019925,1,0,0.006336467,-0.17940077,-1.171826999,0,0,0.850379186970047,-0.094393854,-0.291372633,3359.81780674887,12392,Amazonas,0.9144609425435765,0.03352162685603615,1831.5,33.04,7.266793784,0.147796965784377,2648,0.21368624919302776,1.7718891220142028,5562.039872934907,0.6064162883158489
1301605,TS3,1.05,1.025,9.250286318386045e-5,9.030041406043519e-5,0,0,0,1.022241628,1,1.28469101043618,0.25,1,1,1,1,1,-0.345275912,-0.623100766,-0.29715139,-0.696779241,1,0,-0.844180618,-0.18373172,0.127074622,0,0,0.844897003478727,-0.160384552,-0.179276499,3359.81780674887,12392,Amazonas,0.9144609425435765,0.03352162685603615,690.25,33.04,7.266793784,0.055701258876694644,2615.8,0.21108779857972887,1.6965582633957392,7126.668648552232,0.6064162883158489
1301605,TS4,0.39999999999999997,1.05,3.5239185974803976e-5,9.250286318386045e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302801,TS1,1.45,6.8500000000000005,9.873348767533705e-5,4.6643061419038545e-4,0,1,1,-0.060971795,1,-0.619235743514487,0,0,0,0,0,0,-0.550792588,-0.984908791,-0.264300313,-0.733486822,1,0,0.983458256,-0.175118649,-0.468416687,0,0,-0.20641191450482901,-0.255581419,0.128760392,2748.97479491341,17221,Amazonas,0.8517507694094419,0.04009058707392137,902,27.96,15.75,0.0523779106904361,689.5,0.0400383253005052,1.112711224667557,3240.0114810562573,0.621032665265664
1302801,TS2,1.95,1.45,1.327795179082119e-4,9.873348767533705e-5,0,0,0,0.675730813,1,0.410541153122695,0,0.5,0,0,0,0,-0.629406974,-1.080235825,-0.316300254,-0.763064133,1,0,0.006336467,-0.17940077,-1.707736773,0,0,0.303513717707565,-0.298167864,-0.425350077,2748.97479491341,17221,Amazonas,0.8517507694094419,0.04009058707392137,735,27.96,15.75,0.04268044828987864,788.75,0.04580163753556704,1.0281342546890424,4843.670046030895,0.621032665265664
1302801,TS3,1.3250000000000002,1.95,9.022198011711835e-5,1.327795179082119e-4,0,1,1,0.351860207,1,1.51808444701177,0,0,0,0,0,1,-0.492446673,-1.10700235,-0.316547984,-0.760713869,1,0,-0.125410424,-0.18373172,-0.207884054,1,0,0.506028149003923,-0.279451813,0.166676381,2748.97479491341,17221,Amazonas,0.8517507694094419,0.04009058707392137,1498,27.96,15.75,0.0869868184193717,1060.8,0.06159921026653504,1.0681290285117009,7840.515378447069,0.621032665265664
1302801,TS4,1.15,1.3250000000000002,7.830586953561214e-5,9.022198011711835e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507466,TS1,2.675,4.625,0.02523584905660377,0.04363207547169811,0,0,0,-0.148380884,0,0.275957298581641,0,0,0,0,0,0,0.19845971,-1.1235335,-0.264300313,-0.77169773,0,0,0.113301642,-0.175118649,0.956584871,0,0,0.0919857661938803,-0.326845306,0.267471628,73.4301233040659,197,Para,0.45685279187817257,0,1411.5,0.672143866,9.788930799,7.16497461928934,5062.5,25.69796954314721,22.225888324873097,4407.125727989037,0.16787598197969544
1507466,TS2,0.9,2.675,0.008490566037735849,0.02523584905660377,0,0,0,-0.31307616,0,0.701513704656162,0.125,0,0,0,0,0.5,-0.246308371,-1.139976556,-0.316300254,-0.764738059,0,1,0.817404223,-0.17940077,-2.178184019,0,0,0.275504568218721,-0.244553873,-0.340194949,73.4301233040659,197,Para,0.45685279187817257,0,1170.25,0.672143866,9.788930799,5.940355329949239,767,3.8934010152284264,26.794416243654823,5370.995547977645,0.16787598197969544
1507466,TS3,0.44999999999999996,0.9,0.0042452830188679245,0.008490566037735849,0,0,1,-0.291810543,0,1.54711253702725,0.5,0,0,0,0,0,-0.060585075,-1.06009392,-0.316547984,-0.72956714,0,0,-0.125410424,-0.18373172,0.262232192,0,0,0.68237084567575,-0.361132353,0.034205442,73.4301233040659,197,Para,0.45685279187817257,0,557.25,0.672143866,9.788930799,2.8286802030456855,815.2,4.138071065989848,29.1751269035533,7019.4867333623315,0.17631266705583756
1507466,TS4,0.75,0.44999999999999996,0.007075471698113208,0.0042452830188679245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500800,TS1,0.375,3.225,0.004411764705882353,0.037941176470588235,0,1,0,0.036201821,1,-1.84365171085609,0,1,0,0,0,0.5,-0.735693492,-0.290656225,-0.25055315,1.033261088,0,0,1.853614869,1.16728127,-0.31214689,1,0,-0.28121723695203,-0.040606963,0.635366995,27.8132363623235,185,Para,0.43783783783783786,0,0,0.004442083,1.056991086,0,296.25,1.6013513513513513,2648.681081081081,6829.103113023106,6.284448648648648e-5
1500800,TS2,0.05,0.375,5.882352941176471e-4,0.004411764705882353,0,1,1,-0.219189253,1,-1.51140542247785,0,1,0,0.5,0.5,0.5,-0.689622578,-0.259364166,-0.284647048,1.006700688,1,1,3.250607493,1.041103399,0.208581861,1,0,-0.170468474159283,0.295511149,1.114797339,27.8132363623235,185,Para,0.43783783783783786,0,3158,0.004442083,1.056991086,17.07027027027027,224,1.2108108108108109,2620.691891891892,10549.202810068726,0.010590683243243243
1500800,TS3,0,0.05,0,5.882352941176471e-4,0,1,1,-0.040482382,1,-1.53175272993029,0,1,1,1,1,1,-0.61447328,-0.200239519,-0.261596168,0.805074844,1,1,2.030900155,1.312339593,0.307920898,1,0,-0.177250909976763,0.288127646,0.834705263,27.8132363623235,185,Para,0.43783783783783786,0,62,0.004442083,1.056991086,0.33513513513513515,113.8,0.6151351351351351,2716.2027027027025,13355.072015283658,0.010590683243243243
1500800,TS4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300102,TS1,0.875,1.4249999999999998,1.858143979613506e-4,3.0261201953705666e-4,0,0,1,-0.148380884,0,-1.10118638147583,0,0,0,0,0,0,-0.564453128,-0.540909296,-0.264300313,-0.659113025,0,0,0.983458256,-0.175118649,-0.11875136,0,1,-0.36706212715861,-0.338129294,0.466176724,1559.93981553575,5852,Amazonas,0.8033151059466849,0.09299384825700616,891.75,39.07,8.447926721,0.1523838004101162,1750,0.29904306220095694,2.304383116883117,3847.5742014423167,0.5455988956339712
1300102,TS2,0.5750000000000001,0.875,1.2210660437460185e-4,1.858143979613506e-4,0,0,0,1.416630497,1,-0.850952831763592,0,0,0,0,0,0,-0.614224163,-0.624590467,-0.316300254,-0.69903482,0,0,0.006336467,-0.170682883,1.158245194,0,1,-0.283650943921197,-0.375691617,0.541145415,1559.93981553575,5852,Amazonas,0.8033151059466849,0.09299384825700616,938,39.07,8.447926721,0.16028708133971292,2016,0.3444976076555024,2.7673444976076556,8490.468986384267,0.5455988956339712
1300102,TS3,0.625,0.5750000000000001,1.3272456997239328e-4,1.2210660437460185e-4,0,0,0,-0.084688386,1,-0.97469355286703,0,0,0,0,0,0,-0.4992474,-0.554957195,-0.316547984,-0.683320195,0,0,-0.844180618,-0.17702288,0.784945526,0,1,-0.324897850955677,-0.342345462,0.235191227,1559.93981553575,5852,Amazonas,0.8033151059466849,0.09299384825700616,675.75,39.07,8.447926721,0.11547334244702666,1883.6,0.32187286397812714,3.2560663021189336,9299.27313757905,0.5455988956339712
1300102,TS4,0.15000000000000002,0.625,3.185389679337439e-5,1.3272456997239328e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304237,TS1,0.7749999999999999,2.6,1.257096512570965e-4,4.2173560421735607e-4,0,0,0,-0.148380884,0,-0.836372140493629,0,0,0,0,0,0,-0.638481541,-1.099151883,-0.264300313,-0.751617492,1,0,0.113301642,-0.175118649,-0.645295479,0,0,-0.278790713497876,-0.292258538,-0.132998459,3660.67856172609,6619,Amazonas,0.9305030971445838,0.4142015410182807,1207.25,13.4,12.1,0.1823915999395679,1849.75,0.27946064360175255,2.9164904064058015,2442.462152116762,0.03087578489197764
1304237,TS2,0.6500000000000001,0.7749999999999999,1.0543390105433903e-4,1.257096512570965e-4,0,0,0,-0.31307616,0,-0.498865494561922,0,0,0,0,0,0,-0.631804334,-1.073288429,-0.316300254,-0.765542592,1,0,-0.80473129,-0.17940077,0.181428531,0,0,-0.166288498187307,-0.297822602,-0.15582569,3660.67856172609,6619,Amazonas,0.9305030971445838,0.4142015410182807,1316.25,13.4,12.1,0.19885934431182958,1658.5,0.2505665508384952,2.7149493881250946,4550.994003978798,0.03087578489197764
1304237,TS3,0.42500000000000004,0.6500000000000001,6.893755068937551e-5,1.0543390105433903e-4,0,1,0,0.351712209,1,0.896722873472581,0.25,0,0,0,0,0,-0.514294267,-1.070986118,-0.316547984,-0.763414413,0,0,0.593359769,-0.17702288,-0.404238264,0,0,0.382240957824194,-0.44420713,0.047280376,3660.67856172609,6619,Amazonas,0.9305030971445838,0.4142015410182807,432,13.4,12.1,0.06526665659465176,1394.6,0.21069647983079012,2.779649493881251,6353.001603391581,0.03087578489197764
1304237,TS4,4.1,0.42500000000000004,6.65044606650446e-4,6.893755068937551e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
